the_geom,cartodb_id,at_a_public_event_negative,at_a_public_event_positive,at_the_shops_negative,at_the_shops_positive,going_to_or_from_school_negative,going_to_or_from_school_positive,going_to_or_from_work_negative,going_to_or_from_work_positive,i_avoid_going_there_alone,i_never_went_back_there,i_reported_it_and_authorities_did_something,i_reported_it_but_authorities_did_nothing,i_stopped_going_to_school_university_or_work,i_told_my_friend_or_my_family,in_a_park_or_gardennegative,in_a_park_or_garden_positive,lgbtqia,on_the_street_negative,on_the_street_positive,out_socially_negative,out_socially_positive,public_transport_negative,public_transport_positive,someone_using_alcohol_or_drugs_negative,this_happens_so_often_that_i_m_just_used_to_it,age,created_datetime,dataset,description_negative,description_positive,description_translation,disability,ethnicity,ftb_demographics_heading,full_time_parent,gender,gender_discrimination,id,in_work,location_adminarea1,location_adminarea1type,location_adminarea3,location_adminarea3type,location_adminarea4,location_adminarea4type,location_adminarea5,location_adminarea5type,location_adminarea6,location_adminarea6type,location_displaylatlng_lat,location_displaylatlng_lng,location_dragpoint,location_geocodequality,location_geocodequalitycode,location_latlng_lat,location_latlng_lng,location_linkid,location_mapurl,location_postalcode,location_sideofstreet,location_street,location_type_1,location_unknowninput,spot_type,location_what_happened_next_other,translation,name,none,other,religion,student,submission_sets_support_length,submission_sets_support_name,submission_sets_support_url,submitter,time_of_day,unemployed,updated_datetime,url,user_token,visible
0101000020E610000027C81ED6C14853C0D4C16090121D28C0,2248,,,,,,,,,x,x,,,,,,,,x,,x,,,,x,x,20,2018-06-01 03:48:53.622+00,46,Siempre da miedo pasar por ahi,,It's always scary to go through there,,,,,female,x,125788,,PE,Country,Callao,State,,County,Callao,City,,Neighborhood,-12.05673,-77.136789,false,STREET,B1AAA,-12.05673,-77.136789,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.056729862845964,-77.13678932890528|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1761058583",Callao 01,false,Calle Miroquesada,s,,bad,,,"Calle Miroquesada, Callao Callao",,other,,x,,,,,Anytime,,2018-06-01 03:48:53.646+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/125788,session:7db87d7fb0aa96becafe85c6ff972402,true
0101000020E6100000720B4058BB3E53C030866453B63628C0,60,,,,,,,,,,,,,,,,,,,x,,,,,,,18,2018-04-24 14:03:18.804+00,46,,,,,,,,Female,,94266,,PE,Country,Lima,State,,County,San Borja,City,,Neighborhood,-12.106871,-76.980183,false,STREET,B1AAA,-12.106871,-76.980183,0,"http://open.mapquestapi.com/staticmap/v5/map?key=5BYmKcmrvcadSDdBQQnKh7FOLjbrkXaA&type=map&size=225,160&locations=-12.106871235420414,-76.98018318336331|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1424103006",33,false,Bello Horizonte,s,,good,,,"Bello Horizonte, San Borja Lima",,,,student,,,,,Anytime,,2018-04-24 14:03:18.822+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94266,session:434e05b23fea069a35d2922119966d70,true
0101000020E6100000F7080008DB4553C0AC57B54EDA1328C0,146,,,,,,,,,x,,,,,,,,,,,,,x,,,,23,2018-04-27 20:08:25.604+00,46,Un hombre me mostrÃ³ sus partes intimas. Me he sentido muy mal. ,,A man showed me his intimate parts. I have felt very bad.,,,,,Female,,94819,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Evening,,2018-04-27 20:08:25.731+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94819,session:9df577a40b718f0dc7613c17b8447bb0,true
0101000020E610000081C47AD4444053C06AEBE5D089F027C0,239,,,,,,,,,x,,,,,,x,,,,,,,,,,,23,2018-04-28 03:56:13.791+00,46,,,,,,,x,Female,x,94979,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,2,support,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94979/support,,Anytime,,2018-05-14 03:55:41.796+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94979,session:e79e25f007cbf0d8d962948ca3a0d872,true
0101000020E61000005C9F2E9D4A4453C078393527D93328C0,250,,,,,,,,,,,,,,,,x,,,x,,,,,,,44,2018-04-28 10:01:19.788+00,46,,De paseo,Walking,,,,,Female,,95023,x,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,,student,1,support,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95023/support,,Afternoon,,2018-04-28 10:01:19.803+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95023,session:3bab9ca5e07d070447ecda211c4386b6,true
0101000020E6100000140800ACEC4453C0F885B628E31728C0,314,,,,,,,x,,,,,,,,,,,x,,,,x,,,x,29,2018-04-28 19:29:17.828+00,46,,,,,,,,Female,,95148,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Morning,,2018-04-28 19:29:17.952+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95148,session:284d4f36e5d7a6da16a29e9c2be2eacc,true
,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000DAF3FF21F24153C0BE845452AA4428C0,353,,,,,,,,,,,,x,,,,,,x,,,,,,,,28,2018-04-29 17:19:09.729+00,46,acoso callejero ,,street harassment,,x,,,Female,x,95253,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Afternoon,,2018-05-14 03:55:43.076+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95253,session:c2c73e48358f345962848d3625aa0270,true
0101000020E6100000E8FDFFF7E04053C07D756D61B15828C0,415,,,,,,x,,,,,,,,,,,,,,,,,,,,23,2018-04-30 01:35:10.52+00,46,,toda tranquila sin complicaciones ,all quiet without complications,,,,,Female,,95365,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,,student,,,,,Afternoon,,2018-04-30 01:35:10.643+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95365,session:2137fb6f97137606414ba4300ae18fdb,true
0101000020E61000002F88D71C483C53C0C8F25A7B327E28C0,506,,,,,,,,,x,,,,,,,,,x,,,,,,,,20,2018-05-02 03:01:49.108+00,46,,,,,,,,Female,x,95591,,PE,Country,Huaral,State,,County,Villa El Salvador,City,,Neighborhood,-12.245407,-76.942872,false,STREET,B1AAA,-12.245407,-76.942872,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.2454074,-76.9428725|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1050060748",42,false,Costa Verde,s,,bad,,,"Costa Verde, Villa El Salvador Huaral",none,other,,x,,,,,Anytime,,2018-05-14 03:55:44.951+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95591,session:036f4aa9a7fd9a4c9208080fa8d6bb43,true
0101000020E610000005A9B7EEBD3E53C05C952E7FF14C28C0,532,,,,,,,,,,,,,,,,,,x,,,,,,,x,21,2018-05-02 20:22:15.127+00,46,,,,,,,,Female,x,95679,,PE,Country,Huaral,State,,County,San Juan de Miraflores,City,,Neighborhood,-12.150295,-76.980299,false,STREET,B1AAA,-12.150295,-76.980299,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.150294936594808,-76.98029912118577|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-7365096",29,false,Los Conquistadores,s,,bad,,,"Los Conquistadores, San Juan de Miraflores Huaral",,other,,x,,,,,Anytime,unemployed,2018-05-14 03:55:45.442+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95679,session:97e1760f7f532dfe73561a990142cd9b,true
0101000020E61000007F9837A17D4053C09C26B75F9A0128C0,555,,,,,,,,,,,,,,x,,,,x,,x,,,,,x,19,2018-05-03 11:20:58.32+00,46,,,,,,,,Female,x,95840,,PE,Country,Huaral,State,,County,San Juan de Lurigancho,City,,Neighborhood,-12.003133,-77.007671,false,STREET,B1AAA,-12.003133,-77.007671,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.003132937914765,-77.00767099540319|marker-sm-50318A-1&scalebar=true&zoom=15&rand=2033168461",Lima 36,false,Avenida Proceres de la Independencia,s,,bad,,,"Avenida Proceres de la Independencia, San Juan de Lurigancho Huaral",,other,,,,,,,Evening,,2018-05-14 03:55:46.023+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95840,session:84fbd7e582ebae12c001a68a40dfe204,true
0101000020E6100000910C808BCA4353C0C6811D20942A28C0,582,,,,,,,,,,,,,,,,,,x,,,,,,,x,25,2018-05-04 02:12:56.516+00,46,,,,,,,,Female,,96236,,PE,Country,Huaral,State,,County,JesÃºs MarÃ­a,City,,Neighborhood,-12.083108,-77.059212,false,STREET,B1AAA,-12.083108,-77.059212,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.083107986867587,-77.0592116935189|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1326737926",11,false,JirÃ³n Diego de Almagro,s,,bad,,,"JirÃ³n Diego de Almagro, JesÃºs MarÃ­a Huaral",,,,x,,,,,Afternoon,,2018-05-04 02:12:56.638+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/96236,session:32f8a3a971e672ee7d66883097689e30,true
0101000020E61000004F6BE2BA8C4453C04A295C9645E027C0,606,,,,,,,,,,,,,,,,,,x,,,,,,,x,38,2018-05-04 12:28:19.729+00,46,,,,,,,x,Female,,96311,,PE,Country,Lima,State,,County,Comas,City,,Neighborhood,-11.938046,-77.07125,false,STREET,B1AAA,-11.938046,-77.07125,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.938046065984333,-77.07125005415843|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1024668349",7,false,Alfredo Mendiola,s,,bad,,,"Alfredo Mendiola, Comas Lima",,,,,,,,,Late night,,2018-05-04 12:28:19.937+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/96311,session:d8b70aa021a4dab1fff0a0d819f92e55,true
0101000020E610000062FAFFAC993C53C0C39200EBF00828C0,100,,,,,,,,,x,,,x,,x,,,,x,,,,x,,,,25,2018-04-26 14:34:09.665+00,46,Acoso sexual a mujeres a toda hora,,Sexual harassment of women at all times,,,,,Female,x,94598,x,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Anytime,,2018-05-14 03:55:39.845+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94598,session:46bf31d96ebe6c1ff23ba6050066b235,true
0101000020E6100000A8FEFF07B14253C08065B5997B2628C0,624,,,,,,,x,,x,x,,,,,,,,,,,,x,,,,19,2018-05-04 20:30:22.859+00,46,"Un seÃ±or se estaba masturbando en el bus pÃºblico, me rozÃ³ querÃ­a llorar pero lo dejÃ© pasar ",,"A man was masturbating on the public bus, he touched me wanted to cry but I let him go",,,,,Female,x,96380,x,PE,Country,Lima,State,,County,JesÃºs MarÃ­a,City,,Neighborhood,-12.075193,-77.042055,false,STREET,B1AAA,-12.075193,-77.042055,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.075193417425284,-77.04205538564551|marker-sm-50318A-1&scalebar=true&zoom=15&rand=970613",11,false,Alejandro Tirado,s,,bad,,,"Alejandro Tirado, JesÃºs MarÃ­a Lima",,,,x,,,,,Late night,,2018-05-14 03:55:47.305+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/96380,session:9392eaa96015f9efb477fe4d9c0861fd,true
0101000020E6100000500D00407A4153C08B8C32C51A3428C0,633,,,,,,,,,,,,,,,,,,,,,,x,,,x,21,2018-05-05 03:07:50.462+00,46,Un hombre me manoseo en el bus.,,A man groped me on the bus.,,,,,Female,x,96436,x,PE,Country,Lima,State,,County,San Isidro,City,,Neighborhood,-12.098996,-77.023265,false,STREET,B1AAA,-12.098996,-77.023265,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.098995814724349,-77.02326472371178|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-274153632",27,false,calle Los Cisnes,s,,bad,,,"calle Los Cisnes, San Isidro Lima",,,,,,,,,Evening,,2018-05-14 03:55:47.432+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/96436,session:05d1ff61571c7daf776ac3f79cffd5ee,true
0101000020E6100000B3F5FFB6F63E53C0A21E7D783F3B28C0,649,,,,,,,,,x,x,x,,,x,,,,x,,,,,,,,17,2018-05-05 19:01:45.273+00,46,,,,,,,,Female,x,96509,,PE,Country,Lima,State,,County,Santiago de Surco,City,,Neighborhood,-12.115402,-76.983822,false,STREET,B1AAA,-12.115402,-76.983822,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.115401608441273,-76.98382226932654|marker-sm-50318A-1&scalebar=true&zoom=15&rand=513675279",33,false,Avenida del Sur,s,,bad,,,"Avenida del Sur, Santiago de Surco Lima",,other,,x,,,,,Evening,,2018-05-14 03:55:47.688+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/96509,session:3389dfd957d4cc0e49f4b632c2ab7883,true
0101000020E6100000B9FE7FD2574253C025A77DD2CC3C28C0,717,,,,,,,,,,,,,,,,,,x,,,,,,,x,36,2018-05-08 08:33:45.056+00,46,Pickpockets and harrasers,,Pickpockets and harrasers,,,,,Female,x,98720,x,PE,Country,Huaral,State,,County,Miraflores,City,,Neighborhood,-12.118955,-77.036613,false,STREET,B1AAA,-12.118955,-77.036613,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.118954758585707,-77.03661288902165|marker-sm-50318A-1&scalebar=true&zoom=15&rand=91447111",Lima 18,false,Avenida JosÃ© Pardo,s,,bad,,,"Avenida JosÃ© Pardo, Miraflores Huaral",,,,,,,,,Evening,,2018-05-14 03:54:02.331+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/98720,session:5a51e310c2ac5f9358f262edeaefae5e,true
0101000020E6100000B7BD886E693D53C0201B3F136C1B28C0,766,,,,,,,,,,,,,,x,,,,x,,,,,,,,19,2018-05-10 03:00:36.998+00,46,Me tocaron la pierna ._x000D_Estaba caminando por la vereda y se aprovecharon que el espacio no es estrecho.,,They touched my leg._x000D_I was walking on the sidewalk and they took advantage of the fact that the space is not narrow. ,,,,,Female,x,99412,,PE,Country,Lima,State,,County,Ate,City,,Neighborhood,-12.05374,-76.959482,false,STREET,B1AAA,-12.05374,-76.959482,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.05374045709842,-76.95948231184796|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1714558405",3,false,Av. Calca,s,,bad,,,"Av. Calca, Ate Lima",,,,x,,,,,Evening,,2018-05-14 03:53:55.542+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/99412,session:73dfeafe8c0952240cdb0d73cb2bc08b,true
0101000020E610000030F4FFDF853B53C0173EBFC4286228C0,876,,,,,,,,,,,,,,x,,,,,,,,x,,,,22,2018-05-13 04:01:18.718+00,46,"Al bajar del carro, un hombre se me pego en mi espalda inclinÃ¡ndome. ",,"When I got off the car, a man hit me on my back, bending over.",,,,,Female,x,100307,,PE,Country,Provincia de Huaral,State,,County,Villa MarÃ­a del Triunfo,City,,Neighborhood,-12.191494,-76.930144,false,STREET,B1AAA,-12.191494,-76.930144,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.19149399937887,-76.93014388183238|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1238576169",42,false,Manco Capac,s,,bad,,,"Manco Capac, Villa MarÃ­a del Triunfo Provincia de Huaral",,,,x,,,,,Evening,,2018-05-14 03:53:47.124+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/100307,session:6ab01aee6b50b1781c27b9ede8ad15ad,true
0101000020E610000035FDFF9F963D53C0DCC530F6891628C0,889,,,,,,,,,,,,,,x,,,,x,,,,,,,x,25,2018-05-13 04:18:34.071+00,46,una chica pasaba y el mototaxista le arrachÃ³ la cartera. ,,A girl was passing by and the motorcycle thief took her wallet.,,,,,Female,x,100321,,PE,Country,Lima,State,,County,Santa Anita,City,,Neighborhood,-12.043243,-76.962376,false,STREET,B1AAA,-12.043243,-76.962376,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.0432431,-76.962376|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-732404660",3,false,San Marcos,s,,bad,,,"San Marcos, Santa Anita Lima",,,,x,,,,,Evening,,2018-05-14 03:53:46.94+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/100321,session:6ab01aee6b50b1781c27b9ede8ad15ad,true
0101000020E6100000E26866E4FE4753C049BEFBAB93AF27C0,930,,,,,,,,,,,,,,x,,,,x,,,,,,,,16,2018-05-17 15:43:42.835+00,46,,,,,,,,Female,x,101476,,PE,Country,Callao,State,,County,Ventanilla,City,,Neighborhood,-11.843629,-77.124273,false,STREET,B1AAA,-11.843629,-77.124273,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.8436292,-77.1242732|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1677039218",6,false,Avenida 200,s,,bad,,,"Avenida 200, Ventanilla Callao",,,,x,,,,,Evening,,2018-05-17 15:43:42.852+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/101476,session:ad4f7e728d47b7108b71362b0a204a7d,true
0101000020E6100000AF0DC0BE094653C0D0A44EB1C3DC27C0,970,,,,,,,,,,,,,,,,,,,,,,,,x,x,15,2018-05-23 13:15:20.961+00,46,,,,,,,,Female,x,110854,,PE,Country,Lima,State,,County,,City,,Neighborhood,-11.931175,-77.094328,false,STREET,B1AAA,-11.931175,-77.094328,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.931174599981576,-77.09432752389067|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-891300231",7,false,Calle Virgen del Carmen,s,,bad,,,"Calle Virgen del Carmen,  Lima",,,,x,,,,,Evening,,2018-05-23 13:15:20.978+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/110854,session:91333c05884c25b5476eaa02a49bdd60,true
0101000020E610000037F6FFC16D4453C0A70FC97EC92E28C0,997,,,,,,x,,,,,,,,,,x,,,,,,,,,,17,2018-05-23 17:19:51.744+00,46,,Es bonito para caminar.,It's lovely to walk here,,,,,Female,,111083,,PE,Country,Lima,State,,County,Magdalena del Mar,City,,Neighborhood,-12.091371,-77.069225,false,STREET,B1AAA,-12.091371,-77.069225,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.091371325615123,-77.06922487865599|marker-sm-50318A-1&scalebar=true&zoom=15&rand=680433623",17,false,Libertad,s,,good,,,"Libertad, Magdalena del Mar Lima",,,,student,,,,,Anytime,,2018-05-23 17:19:51.765+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111083,session:e948b323255ce5bab1818d45a027f145,true
0101000020E610000060000008084653C0E77F1B65622828C0,194,,,,,,,,,,,,,,x,,,,x,,,,,,,,40,2018-04-27 21:48:57.971+00,46,,,,,,,,Female,,94883,x,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,,,,,,Morning,,2018-04-27 21:48:58.091+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94883,session:cc495ade4c61e3c8bd91491b7f8a13f9,true
0101000020E61000003BF7FFB2A94453C063EBE28597BA27C0,1225,,,,,,,,,,,,,,,,,,x,,,,,,,x,17,2018-05-25 06:30:43.788+00,46,Los mototaxistas que se encuentras ahi.,,The motorists who are there.,,,,,Female,,113894,,PE,Country,Provincia de Huaral,State,,County,Urb. Augusto Bedoya,City,,Neighborhood,-11.864427,-77.072861,false,STREET,B1AAA,-11.864427,-77.072861,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.86442698310528,-77.07286107099645|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1428211321",22,false,Avenida San Juan de Dios,s,,bad,,,"Avenida San Juan de Dios, Urb. Augusto Bedoya Provincia de Huaral",none,,,x,,,,,Evening,,2018-05-25 06:30:43.804+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/113894,session:c91575c35176f35dafba1afc1e7d0729,true
0101000020E6100000E40B00B4A23B53C0F9D103774D6F28C0,1255,,,,,,,,,,,x,,,,,,,x,,,,,,x,,37,2018-05-29 13:52:55.174+00,46,,,,,,,,Female,,123599,x,PE,Country,Lima,State,,County,Villa El Salvador,City,,Neighborhood,-12.217251,-76.931887,false,STREET,B1AAA,-12.217251,-76.931887,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.21725103468563,-76.93188672891905|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-887097488",42,false,Av. 3 de Octubre,s,,bad,,,"Av. 3 de Octubre, Villa El Salvador Lima",none,,,,,,,,Evening,,2018-05-29 13:52:55.404+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/123599,session:b57cf39e98d2d011f3ad500fe50899b4,true
0101000020E6100000A7F7FFBBD63B53C024E2A6390B6828C0,1269,,x,,,,,,,,,,,,,,x,,,,,,,x,,,15,2018-05-29 16:20:04.388+00,46,,,,,,,,female,,123672,,PE,Country,Lima,State,,County,Villa El Salvador,City,,Neighborhood,-12.202807,-76.935208,false,STREET,B1AAA,-12.202807,-76.935208,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.202807333826378,-76.93520841150334|marker-sm-50318A-1&scalebar=true&zoom=15&rand=846115240",42,false,Calle Los Ebanistas,s,,good,,,"Calle Los Ebanistas, Villa El Salvador Lima",,,,student,,,,,Evening,,2018-05-29 16:20:04.511+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/123672,session:a65b161d094aab9ecc82e139e3e8bcbb,true
0101000020E6100000330A0090FE3F53C0494BCC07C90828C0,2009,,,,,,,,,x,,,,,,,,,x,,,,,,,x,25,2018-05-31 19:58:36.499+00,46,,,,,,,,female,,125372,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,,,,,,Anytime,,2018-05-31 19:58:36.73+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/125372,session:eb83e84793b5482d3650d1a9c3228caa,true
0101000020E610000082040060503C53C02A8570B0A62A28C0,1393,,,,,,,,,,x,,,,x,,,,,,,,,,x,,23,2018-05-30 19:35:59.312+00,46,,,,,,,,Female,,124302,x,PE,Country,Provincia de Huaral,State,,County,La Molina,City,,Neighborhood,-12.082683,-76.942572,false,STREET,B1AAA,-12.082683,-76.942572,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.082682642752383,-76.94257222053528|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1919465255",12,false,Manuel Pozzi,s,,bad,,,"Manuel Pozzi, La Molina Provincia de Huaral",none,,,,,,,,Anytime,,2018-05-30 19:35:59.329+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124302,session:5db7752fa96fe6e0e437545e2f3ca99d,true
0101000020E61000008F0000550B4153C02FABE052762528C0,1475,,,,,,,,,,,,,,,,,,,,,,,,,,18,2018-05-30 21:43:31.053+00,46,"Fui a Gamarra sola ,tenia una polera que me cubria hasta debajo de mis caderas ,aun asi ,me decian mamacita ,ya no me gustaria volver ",,"I went to Gamarra alone, I had a shirt that covered me up under my hips, even so, they said mommy, I would not like to go back",,,,,Female,,124459,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Anytime,,2018-05-30 21:43:31.216+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124459,session:a37a156d07aedda423e8f11f01cca340,true
0101000020E61000009E09005F004253C088414AB79F1928C0,1484,,,,,,,x,,,,,,,,,,,x,,,,,,,x,26,2018-05-30 22:23:35.231+00,46,,,,,,,,Female,,124491,x,PE,Country,Lima,State,,County,Lima,City,,Neighborhood,-12.050027,-77.031299,false,STREET,B1AAA,-12.050027,-77.031299,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.05002743644901,-77.03129913453881|marker-sm-50318A-1&scalebar=true&zoom=15&rand=228842018",10,false,JirÃ³n Lampa,s,,bad,,,"JirÃ³n Lampa, Lima Lima",,,,,,,,,Evening,,2018-05-30 22:23:35.383+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124491,session:1659376ee56989be7463838b3f0858ed,true
0101000020E6100000BD0600B44D4553C0E4091AB9C21B28C0,1494,x,,,,,,,,,,,x,,,,,,,,,,,,,,21,2018-05-30 22:46:58.012+00,46,,,,,,,,Female,,124502,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,none,,,x,,,,,Anytime,,2018-05-30 22:46:58.244+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124502,session:5db7752fa96fe6e0e437545e2f3ca99d,true
0101000020E6100000B08225809E3753C06FB9CE0CC83B28C0,1575,,,,,x,,,,x,x,,,,,,,,,,,,,,,,20,2018-05-31 12:58:02.861+00,46,,,,,,,x,Female,,124735,,PE,Country,Lima,State,,County,PachacÃ¡mac,City,,Neighborhood,-12.116815,-76.868677,false,STREET,B1AAA,-12.116815,-76.868677,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.1168149,-76.8686769|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1931404163",Lima 19,false,Calle 63,s,,bad,,,"Calle 63, PachacÃ¡mac Lima",none,,,,,,,,Anytime,,2018-05-31 12:58:02.986+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124735,session:467a7223e9f004322e921cbea382438d,true
